 (1, 0, 0, 0, 0, 0, 0), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6) 
 (1/2, 1/4, 0, 1/4, 0, -1/4, 1/4), (1/4, 7/40, 1/10, 7/40, 1/10, 1/40, 7/40), (0, 1/10, 1/5, 1/10, 1/5, 3/10, 1/10), (1/4, 7/40, 1/10, 7/40, 1/10, 1/40, 7/40), (0, 1/10, 1/5, 1/10, 1/5, 3/10, 1/10), (-1/4, 1/40, 3/10, 1/40, 3/10, 23/40, 1/40), (1/4, 7/40, 1/10, 7/40, 1/10, 1/40, 7/40) 
 (1/2, 1/4, 0, 1/4, 0, 1/4, -1/4), (1/4, 7/40, 1/10, 7/40, 1/10, 7/40, 1/40), (0, 1/10, 1/5, 1/10, 1/5, 1/10, 3/10), (1/4, 7/40, 1/10, 7/40, 1/10, 7/40, 1/40), (0, 1/10, 1/5, 1/10, 1/5, 1/10, 3/10), (1/4, 7/40, 1/10, 7/40, 1/10, 7/40, 1/40), (-1/4, 1/40, 3/10, 1/40, 3/10, 1/40, 23/40) 
 (1/2, 1/4, 0, 1/4, -1/4, 0, 1/4), (1/4, 7/40, 1/10, 7/40, 1/40, 1/10, 7/40), (0, 1/10, 1/5, 1/10, 3/10, 1/5, 1/10), (1/4, 7/40, 1/10, 7/40, 1/40, 1/10, 7/40), (-1/4, 1/40, 3/10, 1/40, 23/40, 3/10, 1/40), (0, 1/10, 1/5, 1/10, 3/10, 1/5, 1/10), (1/4, 7/40, 1/10, 7/40, 1/40, 1/10, 7/40) 
 (1/2, 1/4, 0, 1/4, 1/4, 0, -1/4), (1/4, 7/40, 1/10, 7/40, 7/40, 1/10, 1/40), (0, 1/10, 1/5, 1/10, 1/10, 1/5, 3/10), (1/4, 7/40, 1/10, 7/40, 7/40, 1/10, 1/40), (1/4, 7/40, 1/10, 7/40, 7/40, 1/10, 1/40), (0, 1/10, 1/5, 1/10, 1/10, 1/5, 3/10), (-1/4, 1/40, 3/10, 1/40, 1/40, 3/10, 23/40) 
 (1/2, 1/4, 0, -1/4, 1/4, 1/4, 0), (1/4, 7/40, 1/10, 1/40, 7/40, 7/40, 1/10), (0, 1/10, 1/5, 3/10, 1/10, 1/10, 1/5), (-1/4, 1/40, 3/10, 23/40, 1/40, 1/40, 3/10), (1/4, 7/40, 1/10, 1/40, 7/40, 7/40, 1/10), (1/4, 7/40, 1/10, 1/40, 7/40, 7/40, 1/10), (0, 1/10, 1/5, 3/10, 1/10, 1/10, 1/5) 
 (1/2, 1/4, 0, 1/4, -1/4, 1/4, 0), (1/4, 7/40, 1/10, 7/40, 1/40, 7/40, 1/10), (0, 1/10, 1/5, 1/10, 3/10, 1/10, 1/5), (1/4, 7/40, 1/10, 7/40, 1/40, 7/40, 1/10), (-1/4, 1/40, 3/10, 1/40, 23/40, 1/40, 3/10), (1/4, 7/40, 1/10, 7/40, 1/40, 7/40, 1/10), (0, 1/10, 1/5, 1/10, 3/10, 1/10, 1/5) 
 (1/2, 1/4, 0, 1/4, 1/4, -1/4, 0), (1/4, 7/40, 1/10, 7/40, 7/40, 1/40, 1/10), (0, 1/10, 1/5, 1/10, 1/10, 3/10, 1/5), (1/4, 7/40, 1/10, 7/40, 7/40, 1/40, 1/10), (1/4, 7/40, 1/10, 7/40, 7/40, 1/40, 1/10), (-1/4, 1/40, 3/10, 1/40, 1/40, 23/40, 3/10), (0, 1/10, 1/5, 1/10, 1/10, 3/10, 1/5) 
 (1/2, 1/4, 1/4, 0, 0, 1/4, -1/4), (1/4, 7/40, 7/40, 1/10, 1/10, 7/40, 1/40), (1/4, 7/40, 7/40, 1/10, 1/10, 7/40, 1/40), (0, 1/10, 1/10, 1/5, 1/5, 1/10, 3/10), (0, 1/10, 1/10, 1/5, 1/5, 1/10, 3/10), (1/4, 7/40, 7/40, 1/10, 1/10, 7/40, 1/40), (-1/4, 1/40, 1/40, 3/10, 3/10, 1/40, 23/40) 
 (1/2, 1/4, 1/4, 0, 1/4, 0, -1/4), (1/4, 7/40, 7/40, 1/10, 7/40, 1/10, 1/40), (1/4, 7/40, 7/40, 1/10, 7/40, 1/10, 1/40), (0, 1/10, 1/10, 1/5, 1/10, 1/5, 3/10), (1/4, 7/40, 7/40, 1/10, 7/40, 1/10, 1/40), (0, 1/10, 1/10, 1/5, 1/10, 1/5, 3/10), (-1/4, 1/40, 1/40, 3/10, 1/40, 3/10, 23/40) 
 (1/2, 1/4, 1/4, 0, -1/4, 1/4, 0), (1/4, 7/40, 7/40, 1/10, 1/40, 7/40, 1/10), (1/4, 7/40, 7/40, 1/10, 1/40, 7/40, 1/10), (0, 1/10, 1/10, 1/5, 3/10, 1/10, 1/5), (-1/4, 1/40, 1/40, 3/10, 23/40, 1/40, 3/10), (1/4, 7/40, 7/40, 1/10, 1/40, 7/40, 1/10), (0, 1/10, 1/10, 1/5, 3/10, 1/10, 1/5) 
